Sample ID,chain_type,rna_count
TCGA-49-AARR-01A,TRG,0
TCGA-44-2656-01A,IGH,160
TCGA-44-2656-01A,IGL,1202
TCGA-44-2656-01A,IGK,2379
TCGA-44-2656-01A,TRA,835
TCGA-44-2656-01A,TRB,16
TCGA-44-2656-01A,TRD,27
TCGA-44-2656-01A,TRG,2
TCGA-71-6725-01A,IGH,19
TCGA-71-6725-01A,IGL,83
TCGA-71-6725-01A,IGK,334
TCGA-71-6725-01A,TRA,121
TCGA-71-6725-01A,TRB,1
TCGA-71-6725-01A,TRD,1
TCGA-71-6725-01A,TRG,0
TCGA-55-8089-01A,IGH,209
TCGA-55-8089-01A,IGL,701
TCGA-55-8089-01A,IGK,1977
TCGA-55-8089-01A,TRA,860
TCGA-55-8089-01A,TRB,11
TCGA-55-8089-01A,TRD,21
TCGA-55-8089-01A,TRG,4
TCGA-05-4405-01A,IGH,42
TCGA-05-4405-01A,IGL,272
TCGA-05-4405-01A,IGK,842
TCGA-05-4405-01A,TRA,208
TCGA-05-4405-01A,TRB,4
TCGA-05-4405-01A,TRD,9
TCGA-05-4405-01A,TRG,0
TCGA-55-7907-01A,IGH,37
TCGA-55-7907-01A,IGL,192
TCGA-55-7907-01A,IGK,513
TCGA-55-7907-01A,TRA,108
TCGA-55-7907-01A,TRB,2
TCGA-55-7907-01A,TRD,1
TCGA-55-7907-01A,TRG,0
TCGA-62-8402-01A,IGH,56
TCGA-62-8402-01A,IGL,108
TCGA-62-8402-01A,IGK,375
TCGA-62-8402-01A,TRA,108
TCGA-62-8402-01A,TRB,4
TCGA-62-8402-01A,TRD,2
TCGA-62-8402-01A,TRG,0
TCGA-50-5055-01A,IGH,94
TCGA-50-5055-01A,IGL,816
TCGA-50-5055-01A,IGK,2082
TCGA-50-5055-01A,TRA,426
TCGA-50-5055-01A,TRB,7
TCGA-50-5055-01A,TRD,6
TCGA-50-5055-01A,TRG,0
TCGA-O1-A52J-01A,IGH,14
TCGA-O1-A52J-01A,IGL,56
TCGA-O1-A52J-01A,IGK,108
TCGA-O1-A52J-01A,TRA,42
TCGA-O1-A52J-01A,TRB,4
TCGA-O1-A52J-01A,TRD,4
TCGA-O1-A52J-01A,TRG,1
TCGA-49-4506-01A,IGH,44
TCGA-49-4506-01A,IGL,467
TCGA-49-4506-01A,IGK,1440
TCGA-49-4506-01A,TRA,350
TCGA-49-4506-01A,TRB,11
TCGA-49-4506-01A,TRD,6
TCGA-49-4506-01A,TRG,1
TCGA-50-5935-01A,IGH,19
TCGA-50-5935-01A,IGL,186
TCGA-50-5935-01A,IGK,430
TCGA-50-5935-01A,TRA,98
TCGA-50-5935-01A,TRB,4
TCGA-50-5935-01A,TRD,2
TCGA-50-5935-01A,TRG,0
TCGA-86-8076-01A,IGH,114
TCGA-86-8076-01A,IGL,401
TCGA-86-8076-01A,IGK,1311
TCGA-86-8076-01A,TRA,344
TCGA-86-8076-01A,TRB,15
TCGA-86-8076-01A,TRD,3
TCGA-86-8076-01A,TRG,3
TCGA-73-4658-01A,IGH,33
TCGA-73-4658-01A,IGL,250
TCGA-73-4658-01A,IGK,732
TCGA-73-4658-01A,TRA,155
TCGA-73-4658-01A,TRB,3
TCGA-73-4658-01A,TRD,6
TCGA-73-4658-01A,TRG,0
TCGA-55-8096-01A,IGH,118
TCGA-55-8096-01A,IGL,360
TCGA-55-8096-01A,IGK,1293
TCGA-55-8096-01A,TRA,456
TCGA-55-8096-01A,TRB,2
TCGA-55-8096-01A,TRD,12
TCGA-55-8096-01A,TRG,1
TCGA-91-8497-01A,IGH,193
TCGA-91-8497-01A,IGL,673
TCGA-91-8497-01A,IGK,1861
TCGA-91-8497-01A,TRA,591
TCGA-91-8497-01A,TRB,3
TCGA-91-8497-01A,TRD,21
TCGA-91-8497-01A,TRG,0
TCGA-L9-A444-01A,IGH,158
TCGA-L9-A444-01A,IGL,634
TCGA-L9-A444-01A,IGK,1624
TCGA-L9-A444-01A,TRA,301
TCGA-L9-A444-01A,TRB,11
TCGA-L9-A444-01A,TRD,10
TCGA-L9-A444-01A,TRG,0
TCGA-55-7576-01A,IGH,51
TCGA-55-7576-01A,IGL,209
TCGA-55-7576-01A,IGK,482
TCGA-55-7576-01A,TRA,129
TCGA-55-7576-01A,TRB,5
TCGA-55-7576-01A,TRD,5
TCGA-55-7576-01A,TRG,0
TCGA-MP-A4T6-01A,IGH,38
TCGA-MP-A4T6-01A,IGL,316
TCGA-MP-A4T6-01A,IGK,465
TCGA-MP-A4T6-01A,TRA,99
TCGA-MP-A4T6-01A,TRB,4
TCGA-MP-A4T6-01A,TRD,9
TCGA-MP-A4T6-01A,TRG,2
TCGA-55-7727-01A,IGH,20
TCGA-55-7727-01A,IGL,66
TCGA-55-7727-01A,IGK,327
TCGA-55-7727-01A,TRA,72
TCGA-55-7727-01A,TRB,5
TCGA-55-7727-01A,TRD,0
TCGA-55-7727-01A,TRG,0
TCGA-75-7031-01A,IGH,30
TCGA-75-7031-01A,IGL,108
TCGA-75-7031-01A,IGK,288
